p,q,dp,dq,Q,P,1/f,dQ,dP
32,57.5,0.5,0.5,0.0173913,0.03125,0.0486413,0.0001512,0.0004883
42,38.5,0.5,0.5,0.025974,0.0238095,0.0497835,0.0003373,0.0002834
52.5,33,0.5,0.5,0.030303,0.0190476,0.0493506,0.0004591,0.0001814
62.5,29.5,0.5,0.5,0.0338983,0.016,0.0498983,0.0005745,0.000128
71.5,28,0.5,0.5,0.0357143,0.013986,0.0497003,0.0006378,0.0000978
87,25.5,0.5,0.5,0.0392157,0.0114943,0.0507099,0.0007689,0.0000661
95,25,0.5,0.5,0.04,0.0105263,0.0505263,0.0008,0.0000554
105,24.5,0.5,0.5,0.0408163,0.0095238,0.0503401,0.000833,0.0000454
119,23.5,0.5,0.5,0.0425532,0.0084034,0.0509566,0.0009054,0.0000353
144.5,22.5,0.5,0.5,0.0444444,0.0069204,0.0513649,0.0009877,0.0000239
